Product Name,reviews
"DevaCurl One Condition Original, 32oz","This product seemed thinner that normal to me.  So I went to an Ulta (certified distributor for Deva Curl) and bought the same product, and it is way, way thicker.  The squirt of the product I bought at Ulta retained it's shape as squirted and the Amazon product puddled.  We could tell the difference when rubbing it between our fingers.  There was 4 of us.  We all agreed, the Amazon product is watered down!  Don't buy this!  I will never buy a Deva product from Amazon will again.
"
"DevaCurl One Condition Original, 32oz","Fake product. Anyone who has tried the real thing would know by the first whiff. This does not smell anything like the real conditioner and it doesn’t work like it either. My hair clumped together in one big ball and wouldn’t untangle. I returned it. Stay away from caben. This seller isn’t selling authentic devacurl!
"
"DevaCurl One Condition Original, 32oz","This is not the legit product. I have been using Deva Curl One Condition for years and this bottle's contents both smelled different and had a thicker consistency than the real stuff. This stuff has a consistency that of a thick body butter, not of Deva Curl One Condition conditioner. It's so thick that you need to use twice as much and rub it around in your hands to even get it to spread into your hair. It's awful. I also know it's not right because my hair isn't conditioned at all once I rinse it out. And you have to rinse it FOREVER to get it all out or it will leave a residue leaving your hair crunchy and gross. Find out who's providing you this product, Amazon, and take them to task. They are selling you fake One Condition.
"
"DevaCurl One Condition Original, 32oz","I am a huge fan of DevaCurl products. I have been using DevaCurl for over a year now. It works well for both my long hair and short hair.I started with their travel size of the ""DevaCurl Kit for All Curl Kind"" It includes 3oz bottles of  No-Poo Original, One Condition Original, Styling Cream, Light Defining Gel.I was really shocked at how well this line of products worked on my hair. I buy all of them in the large bottles now. Individually they are good products but together they have changed my curls. I am not kidding at all! My curls are curlier, not crunch, not as frizzy and overall more beautiful than before I used DevaCurl.
"
"DevaCurl One Condition Original, 32oz","
I want to start by saying I'm a big fan of this conditioner. I love, love the results I've gotten from it & how soft it's made my hair. I have to agree with other posts that ""THIS"" bottle of conditioner is a little thinner. I compared the old bottle with this & there is definitely a difference. I notice I'm having to use more conditioner now & my hair isn't as soft. It does seem watered down. I would not buy this product from this seller again just because of this, but I would def buy this conditioner again. I will go back to the first seller. I was looking for a cheaper price & I guess you get what you pay for.
"
"DevaCurl One Condition Original, 32oz","
Just received this conditioner and it's the daily creme conditioner, not the ultra creamy that is in the photo.  It's still good conditioner but the ultra creamy is much thicker and coats better.  It's possible that Deva does not offer the ultra creamy version anymore since it's getting more difficult to find, but then the new bottle should also be shown in the photo.
"
"DevaCurl One Condition Original, 32oz","
This product seems like it was tampered with and laundry detergent was added to it. It smells like it too. It is so liquidy and doesn't feel like conditioner. After the first time, it appeared to have stripped my hair color. I gave it another try and it is a failure. I am so disappointed and do not recommend this product.
"
"DevaCurl One Condition Original, 32oz","
I am a mixed race female with somewhat loose curls. I would say this is a ""decent"" hair product but you could do much better for half the price. I've tried Paul Mitchell, biolage, mixed chicks, redkin, and various other ""pricey"" brands. Deva curl definitely ranks 2nd or 3rd. Cantu and other ""natural"" hair products definitely work better for half the price ! Save your money and shop elsewhere ! Or invest in some Moroccan oil (that stuff is worth the money in my opinion) !
"
"DevaCurl One Condition Original, 32oz","
Let’s be honest, devacurl is expensive. Like everyone else on here I was weary of purchasing through amazon because of the warnings in the reviews. So I’ll just keep it real for the first time devacurl users and the long time ones, it’s a little lengthy but I hope it helps:1. For the long time users, keep in mind some of these reviewers are deva certified and get paid to sell devacurl products. I wouldn’t be surprised if half of these “DO NOT BUY. MADE ME HAIR HORRIBLE. KNOCK OFF” reviewers are just upset they’re losing sales. I’ve purchased the styling cream for $14 on here (which is what it SHOULD cost) and I honestly don’t have many complaints. The smell was great. However I DID notice 2 things about this conditioner. The product packaging looked like it slightly spilled which means it could’ve possibly been tampered with. And the product consistency was a little more watered down than original (I compared it with a 3oz $10 devacurl cream conditioner I purchased from ulta on my hand). I also let it sit on my hand, the one from ulta was thicker and took longer to dry than the one I purchased on here.  Probably explains why when I parted my hair on wash day, the side I used the amazon conditioner left my hair slightly dryer than the side I where used the conditioner from ulta. So I do agree that this is not 100%authentic. Still, it did not harm my hair and did leave it smelling great overall which is what I honestly use it for. You’re just getting what you pay for I guess.2. For the first time devacurl users, as mentioned, I honestly only use devacurl for special occasions for the SMELL. This product is way to overpriced and rips off natural haired girls. I use it sparingly when I am heading out. There’s much better options for much more reasonable prices if you want quality care. And I am all about quality, but high prices doesn’t always mean good quality it’s just name brand you’re buying. And that’s what devacurl is, name brand. Not bad but not the best for your money’s worth. Quality products would be Mielle Organics (my favorite), Nutrahair Cachos (got it from a Brazilian friend and LOVED it), Naturallclub deep conditioner (my friend swears by it) even the DIY. There’s also Curlmix and bellebar that gets great reviews.The take away? I have low porosity 4a (some 3c) curls. My hair actually prefers watered down products even though it’s thicker/tighter curled, which is why I use original conditioner from devacurl. However this particular product? Too watered down I prefer the real conditioner. Again, I’ve purchased the styling cream with no problem from amazon for almost half the price and had no problems, packaging was even perfect, just not this conditioner. Do not let some of these devacurl stylist deter you away from saving you some $$ on amazon. They get paid off of this stuff. Obviously it works for some other purchasers so it’s not THAT bad. Personally it left my hair a little dryer due to whatever they added which I don’t trust it and probably not worth buying even at $14 anyway. Just because this was my experience doesn’t mean it won’t be the same for you. I’m just sticking to regular sulfate free shampoos and conditioners, it’s honestly what you LEAVE IN your hair or DEEP CONDITION with that actually matters!!! Devacurl as a whole company wouldn’t get more than 3 stars from me, they’re lucky it smells great. I did not like the packaging which is why I’m giving it 2 stars. I’ll probably only use and purchase the styling cream from devacurl from now on.Hope this helps!!!
"
"DevaCurl One Condition Original, 32oz","
This isn't the real product. I've been using Deva for years and when I first recieved this, the smell wasn't right - it smelled like cheap hand lotion. It didn't feel right on my hair either, the consistency. I continued using it, and my curls started drying out and falling flat, my hair was breaking, etc. So I took the bottle in to a Sephora to compare the scent and consistency with an in-store product, and they WERE NOT THE SAME. I'd recommend buying straight from a salon or the like before you totally destroy your curls.
"
